date,customer_id,store_id,age,gender,age_group,product_name,category,units_sold,unit_price,discount_applied,discounted,sales_amount
2025-03-18,cust_780,store_1,47,F,40s_F,Cheddar Cheese,Dairy,2,2.5,0.05,TRUE,4.75
2025-03-16,cust_630,store_2,51,F,50s_F,Avocados,Produce,1,2.4,0.15,TRUE,2.04
2025-04-28,cust_560,store_4,41,M,40s_M,Cheddar Cheese,Dairy,3,2.5,0.05,TRUE,7.12
2025-04-27,cust_747,store_5,24,M,20s_M,Energy Drink,Beverages,3,1.8,0.05,TRUE,5.13
2025-04-17,cust_690,store_3,18,F,10s_F,Salad Bowl,Ready Meals,4,3.2,0.0,FALSE,12.8
2025-03-29,cust_730,store_1,12,M,10s_M,Potato Crisps,Snacks,1,1.3,0.15,TRUE,1.1
2025-04-19,cust_970,store_2,47,F,40s_F,Cheddar Cheese,Dairy,2,2.5,0.1,TRUE,4.5
2025-04-26,cust_764,store_2,13,F,10s_F,Granola Bar,Snacks,4,1.5,0.05,TRUE,5.7
2025-03-01,cust_259,store_3,13,M,10s_M,Potato Crisps,Snacks,3,1.3,0.0,FALSE,3.9
2025-03-02,cust_626,store_2,21,F,20s_F,Smoothie Drink,Beverages,2,2.2,0.05,TRUE,4.18
2025-03-16,cust_605,store_3,43,F,40s_F,Herbal Tea,Beverages,2,2.0,0.15,TRUE,3.4
2025-03-04,cust_909,store_5,44,F,40s_F,Smoothie Drink,Beverages,1,2.2,0.0,FALSE,2.2
2025-04-13,cust_864,store_4,53,M,50s_M,Instant Noodles,Pantry,1,1.2,0.0,FALSE,1.2
2025-03-21,cust_975,store_3,45,F,40s_F,Cheddar Cheese,Dairy,1,2.5,0.05,TRUE,2.38
2025-03-11,cust_581,store_5,27,M,20s_M,Frozen Pizza,Frozen Foods,2,3.5,0.1,TRUE,6.3
2025-03-09,cust_336,store_5,61,F,60s_F,Cheddar Cheese,Dairy,4,2.5,0.05,TRUE,9.5
2025-04-13,cust_819,store_1,33,M,30s_M,Cheddar Cheese,Dairy,1,2.5,0.0,FALSE,2.5
2025-04-06,cust_119,store_3,52,F,50s_F,Herbal Tea,Beverages,2,2.0,0.15,TRUE,3.4
2025-04-28,cust_348,store_1,28,F,20s_F,Salad Bowl,Ready Meals,2,3.2,0.15,TRUE,5.44
2025-03-06,cust_208,store_3,59,F,50s_F,Herbal Tea,Beverages,3,2.0,0.1,TRUE,5.4
2025-05-02,cust_870,store_1,62,F,60s_F,Avocados,Produce,3,2.4,0.1,TRUE,6.48
2025-03-13,cust_897,store_5,32,M,30s_M,Whole Chicken,Meat,2,5.0,0.15,TRUE,8.5
2025-03-17,cust_254,store_4,64,F,60s_F,Herbal Tea,Beverages,1,2.0,0.05,TRUE,1.9
2025-05-05,cust_601,store_3,13,F,10s_F,Salad Bowl,Ready Meals,4,3.2,0.05,TRUE,12.16
2025-04-06,cust_624,store_1,27,M,20s_M,Energy Drink,Beverages,1,1.8,0.05,TRUE,1.71
2025-04-17,cust_309,store_2,12,F,10s_F,Granola Bar,Snacks,4,1.5,0.0,FALSE,6.0
2025-03-03,cust_678,store_1,35,M,30s_M,Red Wine (750ml),Alcohol,3,7.5,0.15,TRUE,19.12
2025-03-01,cust_924,store_5,44,F,40s_F,Greek Yoghurt,Dairy,3,2.0,0.15,TRUE,5.1
2025-03-16,cust_642,store_5,18,F,10s_F,Smoothie Drink,Beverages,2,2.2,0.15,TRUE,3.74
2025-04-23,cust_26,store_4,54,F,50s_F,Avocados,Produce,1,2.4,0.1,TRUE,2.16
2025-04-21,cust_388,store_3,28,M,20s_M,Beef Jerky,Snacks,4,3.5,0.0,FALSE,14.0
2025-05-03,cust_128,store_5,54,M,50s_M,Red Wine (750ml),Alcohol,4,7.5,0.15,TRUE,25.5
2025-04-21,cust_141,store_2,33,F,30s_F,Salad Bowl,Ready Meals,1,3.2,0.05,TRUE,3.04
2025-04-11,cust_199,store_3,57,M,50s_M,Whisky (700ml),Alcohol,3,15.0,0.15,TRUE,38.25
2025-04-11,cust_92,store_1,18,M,10s_M,Cola (500ml),Beverages,4,1.2,0.05,TRUE,4.56
2025-03-26,cust_218,store_5,44,M,40s_M,Cheddar Cheese,Dairy,4,2.5,0.15,TRUE,8.5
2025-03-14,cust_519,store_5,21,F,20s_F,Frozen Berries,Frozen Foods,1,2.8,0.1,TRUE,2.52
2025-04-27,cust_21,store_3,61,F,60s_F,Avocados,Produce,4,2.4,0.05,TRUE,9.12
2025-03-23,cust_923,store_4,58,M,50s_M,Mixed Nuts,Snacks,1,2.9,0.15,TRUE,2.46
2025-04-21,cust_293,store_1,11,M,10s_M,Energy Drink,Beverages,3,1.8,0.0,FALSE,5.4
2025-03-27,cust_398,store_3,13,F,10s_F,Salad Bowl,Ready Meals,4,3.2,0.1,TRUE,11.52
2025-04-24,cust_391,store_4,35,F,30s_F,Granola Bar,Snacks,3,1.5,0.15,TRUE,3.82
2025-03-07,cust_852,store_1,62,M,60s_M,Cheddar Cheese,Dairy,2,2.5,0.0,FALSE,5.0
2025-03-26,cust_67,store_2,39,F,30s_F,Granola Bar,Snacks,1,1.5,0.15,TRUE,1.27
2025-03-05,cust_291,store_2,37,F,30s_F,Greek Yoghurt,Dairy,3,2.0,0.1,TRUE,5.4
2025-04-22,cust_229,store_3,17,M,10s_M,Cola (500ml),Beverages,3,1.2,0.0,FALSE,3.6
